time/h,concentration_c,concentration_a
0,0.00000,0.05000
0.5,0.00165,0.04859
1,0.00294,0.04735
1.5,0.00497,0.04553
2,0.00625,0.04430
3,0.00919,0.04141
4,0.01092,0.03941
5,0.01458,0.03629
6,0.01633,0.03442
