time/h,concentration_c,concentration_a
0,0.00000,0.05000
0.5,0.00396,0.04481
1,0.00791,0.04248
1.5,0.01062,0.03954
2,0.01084,0.03755
3,0.01859,0.03335
4,0.02311,0.02958
5,0.02724,0.02650
6,0.03008,0.02240
