False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.008695652173913044,0.94649583
0.0,0.23478260869565218,0.77590895
0.0035087719298245615,0.23478260869565218,0.7742012
0.0035087719298245615,0.30434782608695654,0.7367257
0.007017543859649123,0.30434782608695654,0.7345502
0.007017543859649123,0.3217391304347826,0.7260307
0.010526315789473684,0.3217391304347826,0.72066504
0.010526315789473684,0.3739130434782609,0.6977171
0.014035087719298246,0.3739130434782609,0.6967363
0.014035087719298246,0.391304347826087,0.69130534
0.017543859649122806,0.391304347826087,0.67880106
0.017543859649122806,0.41739130434782606,0.6746196
0.021052631578947368,0.41739130434782606,0.6742685
0.021052631578947368,0.48695652173913045,0.65367615
0.028070175438596492,0.48695652173913045,0.6497685
0.028070175438596492,0.5652173913043478,0.61536044
0.03508771929824561,0.5652173913043478,0.6059776
0.03508771929824561,0.5826086956521739,0.5973935
0.042105263157894736,0.5826086956521739,0.5864324
0.042105263157894736,0.591304347826087,0.58469033
0.0456140350877193,0.591304347826087,0.58371973
0.0456140350877193,0.6,0.5776734
0.04912280701754386,0.6,0.57740194
0.04912280701754386,0.6521739130434783,0.5623037
0.056140350877192984,0.6521739130434783,0.55918944
0.056140350877192984,0.6608695652173913,0.5553719
0.05964912280701754,0.6608695652173913,0.5504531
0.05964912280701754,0.6695652173913044,0.55032176
0.06315789473684211,0.6695652173913044,0.54626155
0.06315789473684211,0.7043478260869566,0.5400038
0.06666666666666667,0.7043478260869566,0.5389816
0.06666666666666667,0.7217391304347827,0.5279141
0.07017543859649122,0.7217391304347827,0.5275806
0.07017543859649122,0.7304347826086957,0.5273008
0.07368421052631578,0.7304347826086957,0.5195597
0.07368421052631578,0.7478260869565218,0.51659685
0.07719298245614035,0.7478260869565218,0.5134386
0.07719298245614035,0.7652173913043478,0.5084815
0.08771929824561403,0.7652173913043478,0.5006405
0.08771929824561403,0.782608695652174,0.4982023
0.0912280701754386,0.782608695652174,0.49658573
0.0912280701754386,0.7913043478260869,0.49285477
0.09824561403508772,0.7913043478260869,0.48848903
0.09824561403508772,0.8,0.48674315
0.12631578947368421,0.8,0.4621478
0.12631578947368421,0.8173913043478261,0.45816222
0.15087719298245614,0.8173913043478261,0.44664437
0.15087719298245614,0.8260869565217391,0.44356254
0.1543859649122807,0.8260869565217391,0.43855855
0.1543859649122807,0.8347826086956521,0.4347111
0.16140350877192983,0.8347826086956521,0.4317609
0.16140350877192983,0.8434782608695652,0.43092793
0.17894736842105263,0.8434782608695652,0.41966137
0.17894736842105263,0.8608695652173913,0.41249347
0.18596491228070175,0.8608695652173913,0.41068435
0.18596491228070175,0.8695652173913043,0.40789002
0.20350877192982456,0.8695652173913043,0.3909356
0.20350877192982456,0.8782608695652174,0.39058265
0.21052631578947367,0.8782608695652174,0.38615897
0.21052631578947367,0.8869565217391304,0.382256
0.22105263157894736,0.8869565217391304,0.3753587
0.22105263157894736,0.8956521739130435,0.37526757
0.22456140350877193,0.8956521739130435,0.37486514
0.22456140350877193,0.9043478260869565,0.36983153
0.22807017543859648,0.9043478260869565,0.3682359
0.22807017543859648,0.9217391304347826,0.36707512
0.23859649122807017,0.9217391304347826,0.360969
0.23859649122807017,0.9304347826086956,0.36039513
0.2771929824561403,0.9304347826086956,0.34378666
0.2771929824561403,0.9391304347826087,0.34303582
0.2912280701754386,0.9391304347826087,0.33836216
0.2912280701754386,0.9478260869565217,0.3348328
0.32280701754385965,0.9478260869565217,0.31958953
0.32280701754385965,0.9565217391304348,0.31717366
0.34035087719298246,0.9565217391304348,0.30704856
0.34035087719298246,0.9652173913043478,0.3036919
0.4456140350877193,0.9652173913043478,0.25600117
0.4456140350877193,0.9739130434782609,0.25501168
0.45614035087719296,0.9739130434782609,0.24908754
0.45614035087719296,0.9826086956521739,0.2484626
0.5649122807017544,0.9826086956521739,0.20554088
0.5649122807017544,0.991304347826087,0.20359455
0.6771929824561403,0.991304347826087,0.16635528
0.6771929824561403,1.0,0.16608082
1.0,1.0,0.015689934
