t-SNE-1,t-SNE-2,target
-75.0488,-19.734312,1
63.667595,-33.907715,1
-58.26501,-44.617867,1
-30.808237,41.62858,1
-72.22536,-11.242319,1
-49.417572,11.854299,1
-16.84185,-14.002576,1
-76.435074,-24.809992,1
38.041546,-65.9636,1
-47.922142,8.590107,1
-46.439613,-39.495106,1
-60.906406,-23.270174,1
-68.25052,-21.944515,1
13.384654,-12.611604,1
61.020256,-24.276316,1
-8.164483,-72.80029,1
-57.16027,-40.483345,1
-61.101044,36.308052,1
32.262775,34.628017,1
-45.668842,47.369976,1
5.92124,68.67835,0
5.129291,-7.0846033,0
56.63782,-62.76356,0
-18.157164,43.772007,0
-7.8245664,-12.419129,0
19.144857,82.69764,0
49.24408,27.480495,0
-51.186832,57.30217,0
-34.44949,-71.03989,0
64.36418,-34.9679,0
-51.850983,-21.835018,0
-12.874035,-37.3157,0
-54.431713,-18.699871,0
19.153814,36.27377,0
17.263666,11.893838,0
-1.0531213,-49.751827,0
73.50435,25.664482,0
39.562252,31.518671,0
-15.151651,-21.859232,0
-4.97557,-90.81914,0
-10.650314,-81.14487,0
53.146168,-61.806126,0
64.22995,21.316917,0
-3.690891,-93.07517,0
43.76579,49.26515,0
70.392784,25.323006,0
39.045834,-15.492246,0
-7.3994746,-37.718357,0
-32.22627,63.34473,0
-20.446014,61.89845,0
-29.71244,27.23903,0
-61.057056,26.972805,0
-11.39219,48.600025,0
19.996769,-19.814833,0
-55.846786,24.64673,0
-55.202785,63.765015,0
4.8643966,-16.462303,0
58.519333,36.949516,0
10.912999,-13.587881,0
-27.049843,66.995316,0
58.285076,38.799057,0
32.09281,1.1481425,0
-8.997072,-42.244537,0
36.845577,24.63576,0
-72.22526,-11.242408,0
7.1566734,-16.33527,0
41.6876,28.073174,0
-70.33149,-15.335082,0
-24.191914,11.958065,0
28.049566,9.523205,0
-56.90313,27.464684,0
0.6454581,-12.963531,0
32.937923,28.65637,0
39.97157,-63.92657,0
38.2445,-16.252878,0
5.559178,-16.080183,0
-78.044266,-20.37288,0
-62.806614,-26.642561,0
73.81196,28.026602,0
-0.43415484,-73.00406,0
-14.788421,-19.444304,0
-46.263565,70.671036,0
-41.20427,8.470334,0
4.3030767,20.568886,0
-10.875798,-12.909013,0
51.62822,38.189907,0
-61.839043,-20.71422,0
-28.76274,-79.1844,0
-24.203024,-73.65441,0
-19.492851,63.785725,0
12.857409,-6.4139743,0
-28.76274,-79.1844,0
-4.4440603,-47.932003,0
-43.417973,18.875002,0
8.705539,78.60532,0
-2.1415002,41.39241,0
7.107197,78.61595,0
-41.936844,37.734,0
37.23401,-2.9079645,0
53.402035,35.691795,0
43.040997,18.428667,0
18.48286,29.57602,0
40.17619,1.9136547,0
15.118716,59.11385,0
-32.971947,-5.075113,0
66.28047,34.444584,0
54.690823,25.44668,0
-3.3806555,-49.480743,0
-18.75286,70.874146,0
-16.099543,9.162685,0
44.248795,-72.752525,0
37.33393,-56.509747,0
-19.247736,-44.68043,0
63.992474,-21.553032,0
-66.27226,24.297838,0
-39.694756,-74.5794,0
-11.547409,52.64769,0
42.06682,2.993944,0
23.058744,-7.2503176,0
40.9803,-21.900785,0
-41.338886,57.679886,0
3.7055042,51.451744,0
-30.368732,-2.683105,0
13.698773,-17.358082,0
-8.117656,53.67695,0
-73.04875,-13.22778,0
-11.99335,-47.01135,0
57.134823,-6.5623026,0
-0.08624954,52.190193,0
-28.687885,-84.391106,0
-28.811281,-79.541565,0
-1.0137066,79.60246,0
-76.51825,-11.697244,0
-49.706787,14.510356,0
58.91288,23.059017,0
28.051176,9.524677,0
37.16671,-30.906818,0
64.650536,37.410442,0
-74.28226,-10.1624,0
-32.751842,64.066315,0
17.831041,77.37458,0
-6.3554444,-44.183384,0
-53.80227,61.46682,0
-6.1889277,24.781723,0
-24.287317,60.70137,0
21.348137,48.95732,0
20.130056,-20.319813,0
-15.481462,-8.821053,0
-0.94093764,-73.008934,0
54.217033,-1.166721,0
-13.233798,19.333593,0
0.62904674,33.687298,0
-5.8202505,66.554955,0
-19.18911,70.11116,0
-10.693437,-48.010696,0
-63.721058,-43.223656,0
-34.797905,-75.24051,0
-5.0127006,6.271851,0
-19.823212,-20.14995,0
7.1841254,30.170631,0
30.994694,16.514008,0
-25.7472,-17.750246,0
-76.19056,-14.128591,0
26.659027,47.542984,0
40.430374,-71.33623,0
-47.526817,23.531096,0
-46.264782,70.681,0
51.8123,14.054758,0
-17.187225,-41.332283,0
14.833068,82.22444,0
60.2509,-63.379787,0
-26.44246,-16.589815,0
12.79953,76.95958,0
76.74201,26.332136,0
60.88609,50.442932,0
-34.429512,-71.0583,0
59.97836,22.141935,0
51.128777,57.1855,0
25.157063,-35.47769,0
-9.582679,-40.327667,0
-29.249937,18.843216,0
-16.883062,-39.491913,0
-20.600094,50.22239,0
29.107288,-23.688389,0
-14.983453,-8.6095085,0
58.756336,51.66721,0
-55.727654,-6.5832834,0
-58.62103,-26.620626,0
-28.398298,-45.090485,0
-41.93832,37.73297,0
-74.38606,-28.124159,0
-29.599531,-44.465866,0
13.73994,76.12057,0
52.33067,34.903534,0
15.286345,-70.49928,0
-39.418285,-40.551632,0
-23.720366,11.32928,0
53.11916,36.567234,0
25.446022,34.133877,0
-34.099968,-71.906044,0
60.666893,54.07494,0
68.339355,-29.378832,0
37.92318,-30.099022,0
-10.916507,53.431118,0
-58.442978,-22.679886,0
40.176468,1.913849,0
25.90675,17.263409,0
3.952259,-59.79262,0
-19.76438,8.200056,0
32.661003,-78.22563,0
72.327614,14.422141,0
1.4338914,30.36962,0
16.58251,-85.82786,0
64.90354,21.372303,0
53.56687,-7.9533277,0
-46.712425,24.909138,0
-40.462673,-7.9803452,0
-8.878824,18.118565,0
49.809055,-5.2504854,0
40.442226,-71.36696,0
65.94746,28.632418,0
0.3518369,-48.949104,0
-55.417175,-18.722132,0
-62.499332,-11.904119,0
24.125633,-33.454334,0
36.987915,27.577272,0
47.546524,-3.7993674,0
46.499996,18.090439,0
37.472786,-29.51508,0
3.5530577,-11.959451,0
-36.006893,15.52986,0
-4.106413,82.09345,0
-57.531223,-29.151989,0
-13.158459,0.82084,0
-25.786644,76.00351,0
-26.290909,-16.326605,0
45.147503,16.002907,0
-45.85147,10.129474,0
21.794222,1.8636719,0
-61.5323,30.420841,0
20.77398,-82.499306,0
15.501158,35.776123,0
-9.053505,-83.84267,0
62.660057,-17.613415,0
12.837154,74.00811,0
19.982018,-35.489937,0
15.434128,-66.188835,0
24.340725,-21.101864,0
-8.560379,-46.523483,0
27.513405,50.245888,0
29.201462,10.914093,0
43.25849,16.264313,0
-69.8971,-30.23086,0
49.230873,-30.056637,0
20.634426,-4.434501,0
65.375854,4.3712697,0
-45.76688,49.429096,0
-44.12012,51.480915,0
-39.426407,60.156075,0
-27.41963,-79.88944,0
38.997986,-3.32744,0
-1.683648,13.385696,0
-22.81857,-17.13078,0
-27.991999,-14.3181095,0
10.385536,81.242065,0
-8.867002,-50.45106,0
-40.143986,27.766161,0
-12.009282,-75.84055,0
20.284248,-33.459915,0
5.0404778,-20.24747,0
-30.270338,-22.798367,0
74.17385,14.435117,0
-60.21007,33.637657,0
4.702949,0.29904217,0
64.43731,-17.718582,0
51.68688,36.0545,0
-29.074171,-66.78865,0
-23.663267,4.9217267,0
30.226835,-60.388126,0
27.163567,-6.659093,0
-30.344793,44.26209,0
-32.2078,-74.830055,0
28.691738,36.297417,0
-17.698215,-43.080494,0
-5.8218827,-53.34755,0
-61.058346,-20.044533,0
42.09361,47.647923,0
24.938818,-6.9558773,0
-27.020872,64.30587,0
5.782211,5.1859837,0
20.402485,-18.569407,0
1.8402212,71.99838,0
-28.010654,-67.50146,0
-30.347712,44.264545,0
-73.80986,-24.437181,0
69.99897,9.308553,0
64.88951,-24.904613,0
72.53148,-16.742188,0
47.794537,-32.47584,0
35.964138,-1.5432591,0
-64.0503,-24.244722,0
53.747738,25.826595,0
-8.888412,-50.52713,0
-31.548124,42.36371,0
-29.058422,21.926424,0
60.89519,23.844208,0
-19.308882,-11.617511,0
43.807438,-72.187584,0
-31.066492,4.6533475,0
-77.74805,-17.249954,0
51.31962,-0.94407636,0
-57.90083,27.389614,0
62.039703,39.009014,0
-7.0017138,-9.694596,0
-0.28410935,85.82097,0
-62.004738,-14.948522,0
-4.641868,-43.770084,0
32.17211,-55.67975,0
-3.9274848,70.62604,0
-51.503986,5.5113635,0
21.015087,55.23708,0
-31.077335,76.8948,0
-57.12616,-15.308681,0
7.0777607,78.664085,0
-24.42977,67.751114,0
-64.08377,34.92396,0
64.888596,-24.89594,0
3.6551983,15.684437,0
-23.848372,74.13974,0
28.868029,10.6361475,0
32.602024,54.902046,0
19.518272,-35.49372,0
-23.05305,48.549553,0
7.3514776,52.311825,0
15.262446,-66.06738,0
10.192048,-9.210695,0
21.298326,57.13626,0
1.5122097,-45.22442,0
-15.175798,-4.132941,0
-7.4510627,-74.128174,0
-42.436543,-38.347507,0
49.870014,-4.382743,0
-2.882134,-41.69187,0
-27.436008,-79.792816,0
19.620173,-35.505863,0
78.74852,-28.695465,0
49.128307,-16.177174,0
-31.11578,48.61823,0
-16.815525,-21.801277,0
66.2905,42.795765,0
13.755397,-7.01039,0
60.597496,46.843304,0
-50.077778,46.969296,0
-21.869318,17.535208,0
-52.293682,-21.195858,0
-0.2363761,53.417805,0
-19.346783,70.76459,0
-8.596292,-43.117023,0
-53.04669,65.0738,0
45.63875,17.067389,0
-42.27472,16.230476,0
42.056953,30.338305,0
-56.583683,33.123306,0
4.886826,31.276947,0
-31.707283,18.484146,0
-29.024769,-2.3853745,0
22.73138,-4.1788406,0
8.039639,48.60173,0
43.87281,-17.806618,0
-76.25013,-11.574276,0
11.992326,17.157726,0
-33.777725,-81.83631,0
-70.49469,-23.443506,0
53.511364,33.994324,0
-72.346924,-25.55296,0
-39.720486,39.836643,0
-7.7256393,-72.736725,0
0.4602012,21.179432,0
20.773895,-82.499084,0
-40.256927,25.457499,0
29.911842,9.547117,0
3.6486006,-26.680914,0
-44.767975,-34.248184,0
-44.244358,-3.8075733,0
-44.891964,-0.4535234,0
12.799888,6.5289044,0
-38.850975,43.6731,0
79.77954,7.4229856,0
8.131657,-6.4856887,0
-42.095074,60.14854,0
6.4965916,-22.154196,0
76.50177,25.793941,0
73.31791,7.134069,0
-54.152546,6.2671,0
-30.129005,-1.6267974,0
42.86555,14.428614,0
-23.98622,22.570972,0
-52.546368,-45.839096,0
-29.84216,0.62714326,0
11.639816,-1.50143,0
-72.27191,-11.304272,0
20.64421,-66.297325,0
-27.963682,19.382212,0
-34.662235,-21.860706,0
65.34652,4.451148,0
12.799251,76.95724,0
39.363773,-16.97223,0
-45.943172,6.3015623,0
-46.11035,-39.827705,0
-40.845367,-24.611748,0
3.275707,-45.04213,0
-31.470882,-17.875793,0
57.5767,49.856167,0
-7.9381576,48.580048,0
-29.10267,-67.10979,0
65.043976,42.92376,0
-17.66956,-51.92473,0
-17.548553,-6.4692183,0
19.600021,-3.4981108,0
-56.3098,23.07126,0
18.15311,-2.85604,0
-7.206667,-16.641644,0
77.04377,24.04289,0
-42.47618,72.96119,0
40.642017,27.603895,0
-40.487053,-8.082159,0
4.0058455,-60.69096,0
8.6716175,0.7176317,0
-51.53818,-17.276691,0
52.487072,-27.248075,0
40.58,16.493572,0
31.23936,-58.659557,0
-4.4717116,71.86132,0
-61.014565,26.767935,0
-7.8193254,-16.788765,0
54.33579,31.42638,0
26.374609,33.432293,0
-37.515095,-27.57548,0
0.38518623,32.181442,0
8.844123,1.6062126,0
-21.652224,-22.704044,0
9.661117,78.596695,0
-5.030058,72.199356,0
-14.76004,-6.092018,0
12.121018,23.764105,0
-34.35976,-81.588356,0
34.53214,50.132812,0
-60.154884,-27.960505,0
16.534798,-34.87994,0
-12.669287,-76.97396,0
-44.97738,63.810646,0
-20.18412,-17.162031,0
29.551874,-30.233547,0
40.343513,-64.122856,0
29.084269,-23.962753,0
76.937584,6.5255547,0
-55.39267,-44.597996,0
-26.444881,-22.70205,0
1.725462,79.608475,0
31.906694,55.151142,0
-60.596107,-40.513084,0
57.172714,-3.5533442,0
34.91958,-77.467445,0
23.04858,4.0269914,0
52.748615,14.131169,0
-46.421757,0.0273703,0
22.681171,-85.27125,0
73.43933,25.092096,0
-23.719662,0.007678584,0
0.276898,8.836081,0
22.301083,0.5295972,0
-22.663927,52.33299,0
-45.31032,-6.4644437,0
-31.783249,56.28528,0
31.238401,-58.66627,0
27.54826,3.6344187,0
-55.219067,-37.924225,0
-17.818201,-23.814623,0
-34.359936,-3.6327012,0
43.658283,-15.8693285,0
3.949408,-61.0792,0
38.101185,-0.13134795,0
-26.480946,-14.73332,0
30.638172,36.47266,0
38.22072,-64.71199,0
4.784034,-14.533241,0
-30.347666,44.264107,0
-24.975668,50.594345,0
-37.427094,-19.042582,0
29.905214,-19.527708,0
-38.91286,-75.59407,0
-7.046183,-73.30915,0
-43.079647,5.7690945,0
-20.062525,-52.28681,0
37.69627,3.0913203,0
-18.112185,35.07595,0
36.00416,-77.23915,0
31.108015,32.847996,0
23.200855,-42.06152,0
-6.3598104,18.323797,0
-55.436325,61.778694,0
-18.70585,-42.81464,0
31.916866,-79.10896,0
-43.71509,-32.83664,0
72.26691,30.107025,0
-47.02598,-21.42031,0
31.032005,14.581976,0
-6.9433355,52.456017,0
-20.157724,13.763913,0
16.976124,-70.556595,0
66.41842,37.60492,0
11.964505,13.774145,0
27.85137,30.348782,0
43.083748,-70.688286,0
19.901402,-87.46269,0
-29.743595,19.953386,0
-70.69949,-16.172829,0
-18.477804,22.156225,0
-8.680354,49.077103,0
48.558266,21.76249,0
7.1094213,0.5124029,0
-17.646658,16.121168,0
-11.600033,18.442543,0
-30.583523,7.465229,0
-2.713468,25.804165,0
31.604246,52.16175,0
-60.939453,-23.333483,0
44.472702,29.344965,0
69.98754,9.287985,0
-35.389214,-2.5468514,0
1.5698737,-3.5661056,0
76.43362,-17.634653,0
12.750791,-2.2128983,0
-23.134468,46.98329,0
58.60063,55.397305,0
-27.964584,-78.8425,0
66.20265,14.879107,0
19.546122,-5.3766637,0
-4.6952868,72.04551,0
6.5572653,75.50276,0
48.075882,-28.478836,0
-42.09587,60.149696,0
-42.03044,12.651494,0
-73.93431,-10.274209,0
9.917033,-15.414445,0
-26.759674,-77.2033,0
30.29735,36.599525,0
-0.31074905,54.96258,0
-2.8546853,81.55926,0
14.071328,-7.622525,0
-41.89079,-37.801464,0
-1.6438575,-94.28411,0
-28.828125,6.4391627,0
2.1229448,-27.60131,0
-30.33466,-0.49187586,0
26.847597,1.97387,0
-30.817032,0.32775992,0
-15.1846895,-8.531165,0
-62.953644,24.507347,0
33.068886,-26.8908,0
79.696754,14.183739,0
5.3660007,-21.774357,0
1.0307759,84.88198,0
2.985792,32.165203,0
52.67186,33.54474,0
-12.834129,-77.40624,0
-45.078033,25.608973,0
24.812212,-5.994514,0
-23.678679,36.812256,0
-6.886325,53.611675,0
39.99468,3.9659731,0
-2.9978797,-43.499138,0
-11.283067,16.50796,0
76.1754,-20.069794,0
27.56742,25.958408,0
-7.17821,-52.296482,0
69.78865,12.917314,0
-34.73141,-8.531828,0
66.1686,-15.587353,0
76.50182,25.795027,0
20.542582,-36.530457,0
-0.3094283,53.51022,0
52.640953,12.850879,0
-26.534838,-2.1332386,0
54.988796,33.338856,0
11.388124,-12.937985,0
22.149569,-85.83606,0
-6.2048583,50.67689,0
-14.547053,-43.164062,0
-76.75124,-21.845545,0
78.5621,-32.762768,0
-53.208637,30.563656,0
67.5167,11.544362,0
-10.843693,-25.05113,0
-26.854975,-8.708097,0
-75.74878,-22.45802,0
-32.817062,43.447384,0
-29.786947,15.987751,0
-39.88678,27.850914,0
-54.01408,25.519503,0
0.9413023,85.15414,0
55.09229,-61.365273,0
-46.457664,-5.6242166,0
-42.059322,59.446106,0
-51.147346,-33.816307,0
12.333727,81.52958,0
29.704031,-27.157999,0
29.083067,14.395481,0
-41.43502,-37.551586,0
-27.357653,-79.21353,0
66.92462,37.46658,0
4.2081537,53.241203,0
-44.493206,14.469722,0
73.02815,-17.11498,0
-72.97042,-13.661622,0
-39.845936,43.081844,0
-70.03253,-25.467009,0
-28.696333,-68.239265,0
-58.80086,31.003557,0
-45.054985,-34.290424,0
-76.533775,-13.38508,0
31.185596,50.423405,0
64.73981,41.861725,0
-38.35249,-78.27384,0
-66.228035,-21.155207,0
-27.869198,17.01437,0
-5.1577396,47.21443,0
18.01124,37.43465,0
-58.81203,27.793684,0
5.4691944,6.389095,0
-17.002827,-45.44571,0
19.873068,-83.60082,0
48.82924,-23.72725,0
-4.149253,-4.8104134,0
-10.230925,48.611507,0
-10.053292,-45.351223,0
-26.758219,18.519173,0
62.554977,-21.02278,0
-58.499435,50.665657,0
26.750834,2.6056693,0
-8.141946,47.892475,0
-21.36297,38.63649,0
30.636465,17.082254,0
-63.564236,-43.594456,0
-1.2975996,-48.52513,0
-77.88034,-18.216572,0
30.16884,-62.451267,0
-62.52697,-41.504963,0
-48.36825,18.80465,0
-20.019367,76.73902,0
-16.798595,10.03189,0
-23.385302,-23.83303,0
54.215652,33.10275,0
9.866849,81.55078,0
35.961002,-2.2056792,0
-8.85808,-84.308685,0
5.752395,51.80145,0
42.475723,24.303186,0
-18.160446,-40.51928,0
-19.126434,48.973705,0
56.354355,-10.562887,0
5.6899266,-20.096773,0
47.28643,13.721787,0
76.4336,-17.637262,0
47.01832,22.350136,0
43.871437,-61.450768,0
-25.820139,72.58428,0
-28.243376,39.574825,0
19.436543,-36.143955,0
10.350133,72.56016,0
-5.754295,-79.45513,0
-6.3882813,19.241302,0
-18.433685,37.13787,0
-74.87986,-19.963053,0
-45.79442,6.2511067,0
-19.223364,-23.646166,0
-31.34863,-71.59267,0
21.488998,7.3646245,0
65.971695,-23.633747,0
-38.942562,48.54511,0
-51.818283,3.3035996,0
45.535393,-19.045664,0
79.56522,-32.142353,0
-15.949796,-14.185693,0
-33.393852,-0.42319596,0
24.599613,50.343075,0
-7.00403,-17.00196,0
10.891054,18.471495,0
13.458762,-16.86089,0
17.372139,-65.93046,0
57.876514,-21.919384,0
-24.248102,-73.79081,0
41.787437,-18.917889,0
56.637062,-62.764236,0
-7.98361,-38.5393,0
-72.65996,-9.31844,0
19.201614,-80.4088,0
69.99235,9.300018,0
15.76688,-0.24489024,0
26.705666,47.626495,0
15.10946,-0.7060853,0
36.70688,24.574825,0
12.120545,49.788185,0
24.593115,50.357132,0
39.408703,31.447666,0
-58.792736,34.01775,0
-19.748327,-48.113083,0
26.62067,2.4651148,0
13.645974,-17.580858,0
76.68133,-20.047647,0
51.22818,-67.95167,0
-56.296032,-22.672068,0
29.811884,35.643517,0
-59.969517,-32.54872,0
20.585835,-9.502942,0
-42.47316,28.434917,0
40.06838,-60.59287,0
17.841293,75.7785,0
21.42226,7.4043427,0
14.213967,-70.18349,0
49.20446,-30.044018,0
7.353779,47.270386,0
17.40002,-80.249504,0
-52.763744,20.187563,0
2.3280554,43.42902,0
35.478313,-56.596584,0
-30.165436,18.21773,0
-35.031456,0.49308625,0
-18.43835,-49.414368,0
27.118984,30.140608,0
-57.900555,27.389542,0
-21.702665,-22.605719,0
23.946598,33.520172,0
15.090109,-64.339096,0
0.12193998,83.20066,0
35.625854,26.654608,0
-28.666426,18.847267,0
-23.225351,46.624157,0
-77.207436,-11.478019,0
-69.76919,-13.412842,0
40.642673,27.604034,0
-46.461273,-6.324365,0
-57.21647,-33.755997,0
20.762909,58.00964,0
-30.724363,53.60021,0
-27.669378,-2.5282757,0
-28.446682,-84.317825,0
42.446156,-27.024765,0
-44.846546,-38.861027,0
21.890562,58.252365,0
-33.73727,-81.53157,0
-0.16820435,-68.9891,0
11.419967,-16.283941,0
31.120052,-25.506115,0
-8.315157,-14.697483,0
-6.2123294,-79.783035,0
8.352686,84.65228,0
-64.50841,34.830086,0
-32.71603,-0.6728125,0
64.88329,-24.896591,0
69.78782,12.918091,0
-74.606804,-22.603718,0
57.91201,-26.044249,0
-2.8481462,51.928173,0
-21.85405,26.349056,0
52.192017,52.54651,0
-39.713726,-74.54267,0
-27.508858,7.959627,0
61.549267,-27.371012,0
-34.401493,54.49071,0
46.011772,-21.732805,0
-4.8593874,12.172642,0
-10.491041,-44.98071,0
-37.373085,-19.1946,0
-24.464382,-16.592413,0
-31.706886,42.144367,0
51.320824,-0.9447532,0
7.8925624,31.124947,0
1.3979846,44.94259,0
-49.728374,-16.574368,0
29.439756,-13.4840145,0
12.787111,-5.1805673,0
18.918016,-32.58255,0
16.742666,45.280758,0
-5.663387,-79.58905,0
-3.0527341,-46.09125,0
66.58714,-24.550228,0
-20.731562,-48.18681,0
-17.39141,70.678986,0
4.633566,15.2228985,0
76.96481,22.797585,0
-30.701712,3.2741117,0
21.849213,-2.352907,0
-53.36086,-31.226534,0
-2.5848274,-0.27379003,0
-14.324884,-2.8527746,0
-20.971725,19.078482,0
-53.356396,-31.234531,0
-40.30005,15.03418,0
26.461779,46.80996,0
62.6861,11.343074,0
30.749905,-59.096058,0
58.91529,36.871754,0
68.654076,18.539087,0
32.73959,-64.28997,0
6.559232,75.50058,0
-55.978584,65.8969,0
-18.254622,69.83884,0
35.460518,-56.682083,0
-71.41119,-11.023416,0
-6.0942683,-79.42158,0
-43.52056,47.555683,0
-17.336056,-49.58795,0
78.78733,-24.348682,0
2.1334183,23.024632,0
12.663021,-2.836319,0
49.232037,-30.05595,0
40.52935,-70.91511,0
-25.843367,-28.806576,0
47.795357,-32.4756,0
-24.580603,4.614298,0
16.82917,-68.25442,0
-44.032288,16.73371,0
58.53369,39.016094,0
12.7869,-5.1807227,0
-0.08485789,52.190304,0
53.854008,-8.077301,0
29.223763,10.665169,0
65.884254,-30.289104,0
64.88579,-24.90644,0
-59.303173,34.291756,0
-50.294106,-18.644363,0
27.80173,4.033266,0
-59.59698,26.167397,0
-9.319801,-83.9873,0
-10.923809,-8.449412,0
-31.163439,-2.797485,0
5.679223,86.13387,0
-4.2548304,-17.948256,0
-42.32372,18.779764,0
-20.280603,21.828756,0
-31.135433,-74.67243,0
-21.741022,-44.860123,0
-11.310192,17.845047,0
12.398935,72.3164,0
-31.649164,18.610588,0
-20.279993,21.832098,0
24.165087,17.986364,0
40.069717,-60.595055,0
27.663782,28.43475,0
