t-SNE-1,t-SNE-2,target
38.761185,-66.047264,1
46.68248,-60.983612,1
-14.203523,-24.953064,1
44.751408,41.053043,1
-50.99537,25.532923,1
-56.975952,22.088388,1
-36.138668,-3.652884,1
73.010284,2.9530525,1
-52.96324,-47.301765,1
-0.7364274,40.52347,1
-27.035604,33.967464,1
-56.699986,-7.9853153,1
56.30431,-1.5034997,1
64.85848,-34.18569,1
0.03161707,39.697414,1
8.4457655,-84.32892,1
-2.7217696,40.534096,1
-24.929283,-25.978918,1
-62.577553,-18.885365,1
-60.618515,12.634073,1
5.7260656,4.860708,0
58.89665,-7.5035233,0
-3.0259256,24.335434,0
18.434683,34.07746,0
4.555371,4.928655,0
-21.6487,-49.336338,0
-62.869972,-16.932768,0
-28.507269,-15.881305,0
-8.227763,31.723354,0
-44.634308,-28.154768,0
11.014476,4.885507,0
-8.890005,31.33448,0
-16.82135,14.767186,0
61.563866,55.941406,0
-51.181755,30.691572,0
16.724823,-31.97172,0
-69.98646,15.525295,0
-26.04842,35.708794,0
13.443578,-21.600737,0
3.7794197,-15.774653,0
-17.851473,32.024548,0
22.232048,-29.546392,0
31.870043,41.663425,0
23.307201,60.504505,0
65.47968,-31.19581,0
-3.5863478,80.49994,0
34.87231,26.747217,0
-17.879354,-23.588486,0
-49.862072,10.94092,0
21.672037,12.844518,0
36.387325,-69.69026,0
-7.4984775,-40.61593,0
-4.228522,11.682725,0
1.8528988,28.65675,0
29.657469,-59.903576,0
43.552425,-60.421227,0
-36.211075,-42.2082,0
71.17085,-7.079495,0
43.27946,25.130093,0
69.05091,-30.173872,0
-39.036488,-47.885918,0
59.72783,-12.927859,0
-45.99182,-46.88184,0
1.4489107,40.039104,0
-21.702454,-22.525534,0
6.72056,38.365917,0
0.24354333,-15.724479,0
35.497684,22.187778,0
76.78946,-3.4323332,0
-76.14271,-20.664053,0
-3.4083288,46.225025,0
12.063766,3.7515137,0
23.463364,49.298424,0
-49.071854,3.9675734,0
65.587555,15.001341,0
-73.71726,-20.174627,0
56.07873,-25.5115,0
-16.012106,63.861774,0
5.4065337,10.139941,0
-37.07663,40.300865,0
50.18534,20.817083,0
3.8069572,1.2914329,0
31.964956,-7.5893254,0
-18.376259,66.039024,0
45.03419,-30.994404,0
-8.96845,5.311143,0
62.02707,-29.490911,0
43.94885,-71.10474,0
61.87291,47.97781,0
65.09052,55.968105,0
3.3738656,33.428837,0
-13.233244,63.364586,0
-62.351955,14.821493,0
